"","player_name","inch_height","weight"
"1","Jack Coan",75,218
"2","Matt Corral",74,212
"3","Dustin Crum",73,210
"4","Kaleb Eleby",73,208
"5","Sam Howell",73,218
"6","Cole Kelley",79,249
"7","D'Eriq King",69,196
"8","EJ Perry",74,211
"9","Kenny Pickett",75,217
"10","Brock Purdy",75,212
"11","Desmond Ridder",75,211
"12","Carson Strong",75,226
"13","Skylar Thompson",75,217
"14","Malik Willis",74,219
"15","Bailey Zappe",72,215
