,cluster,qb_name,qb_sec,height,weight
160,2,Zac Dysert,Zac Dysert,75,231
161,4,Mike Glennon,Mike Glennon,79,225
162,4,Landry Jones,Landry Jones,76,225
163,3,E.J. Manuel,E.J. Manuel,77,237
164,2,Ryan Nassib,Ryan Nassib,74,227
165,0,Sean Renfree,Sean Renfree,75,219
166,0,Geno Smith,Geno Smith,74,218
167,4,Brad Sorensen,Brad Sorensen,76,229
168,0,Tyler Wilson,Tyler Wilson,74,215
169,4,Blake Bortles,Blake Bortles,77,232
170,2,Tajh Boyd,Tajh Boyd,73,222
171,0,Teddy Bridgewater,Teddy Bridgewater,74,214
172,0,Derek Carr,Derek Carr,74,214
173,0,David Fales,David Fales,74,212
174,2,Jimmy Garoppolo,Jimmy Garoppolo,74,226
175,1,Johnny Manziel,Johnny Manziel,72,207
176,0,A.J. McCarron,A.J. McCarron,75,220
177,4,Zach Mettenberger,Zach Mettenberger,77,224
178,1,Aaron Murray,Aaron Murray,72,207
179,4,Tom Savage,Tom Savage,76,228
180,3,Logan Thomas,Logan Thomas,78,248
181,0,Keith Wenning,Keith Wenning,75,218
182,0,Garrett Grayson,Garrett Grayson,74,213
183,2,Brett Hundley,Brett Hundley,75,226
184,4,Sean Mannion,Sean Mannion,78,229
185,4,Marcus Mariota,Marcus Mariota,76,222
186,2,Bryce Petty,Bryce Petty,75,230
187,4,Jameis Winston,Jameis Winston,76,231
188,0,Brandon Allen,Brandon Allen,73,217
189,4,Jacoby Brissett,Jacoby Brissett,76,231
190,0,Connor Cook,Connor Cook,76,217
191,0,Brandon Doughty,Brandon Doughty,75,213
192,4,Jeff Driskel,Jeff Driskel,76,234
193,0,Jared Goff,Jared Goff,76,215
194,4,Christian Hackenberg,Christian Hackenberg,76,223
195,0,Kevin Hogan,Kevin Hogan,75,218
196,3,Cardale Jones,Cardale Jones,77,253
197,0,Cody Kessler,Cody Kessler,73,220
198,3,Paxton Lynch,Paxton Lynch,79,244
199,2,Dak Prescott,Dak Prescott,74,226
200,3,Nate Sudfeld,Nate Sudfeld,78,234
201,3,Carson Wentz,Carson Wentz,77,237
202,0,C.J. Beathard,C.J. Beathard,74,219
203,0,Joshua Dobbs,Joshua Dobbs,75,216
204,0,Brad Kaaya,Brad Kaaya,76,214
205,4,DeShone Kizer,DeShone Kizer,76,233
206,2,Patrick Mahomes,Patrick Mahomes,74,225
207,2,Nathan Peterman,Nathan Peterman,74,226
208,2,Mitchell Trubisky,Mitchell Trubisky,74,222
209,0,Deshaun Watson,Deshaun Watson,74,221
210,4,Davis Webb,Davis Webb,77,229
211,3,Josh Allen,Josh Allen,77,237
212,0,Sam Darnold,Sam Darnold,75,221
213,2,Danny Etling,Danny Etling,74,222
214,0,Luke Falk,Luke Falk,76,215
215,0,Lamar Jackson,Lamar Jackson,74,216
216,2,Kyle Lauletta,Kyle Lauletta,75,222
217,4,Tanner Lee,Tanner Lee,76,218
218,0,Baker Mayfield,Baker Mayfield,73,215
219,4,Josh Rosen,Josh Rosen,76,226
220,4,Mason Rudolph,Mason Rudolph,77,235
221,4,Mike White,Mike White,77,224
222,0,Logan Woodside,Logan Woodside,73,213
223,0,Ryan Finley,Ryan Finley,76,213
224,0,Will Grier,Will Grier,74,217
225,2,Dwayne Haskins,Dwayne Haskins,75,231
226,4,Daniel Jones,Daniel Jones,77,221
227,4,Drew Lock,Drew Lock,76,228
228,1,Trace McSorley,Trace McSorley,72,202
229,2,Gardner Minshew,Gardner Minshew,73,225
230,1,Kyler Murray,Kyler Murray,70,207
231,2,Easton Stick,Easton Stick,73,224
232,0,Jarrett Stidham,Jarrett Stidham,74,218
233,4,Clayton Thorson,Clayton Thorson,76,222
234,0,Joe Burrow,Joe Burrow,75,221
235,4,Jacob Eason,Jacob Eason,78,231
236,0,Jake Fromm,Jake Fromm,74,219
237,3,Justin Herbert,Justin Herbert,78,236
238,2,Jalen Hurts,Jalen Hurts,73,222
239,4,Jordan Love,Jordan Love,76,224
240,4,Jake Luton,Jake Luton,78,224
241,0,Cole McDonald,Cole McDonald,75,215
242,4,James Morgan,James Morgan,76,229
243,4,Nate Stanley,Nate Stanley,76,235
244,1,Tua Tagovailoa,Tua Tagovailoa,72,217
245,1,Ian Book,Ian Book,72,211
246,0,Sam Ehlinger,Sam Ehlinger,73,220
247,2,Justin Fields,Justin Fields,74,227
248,0,Mac Jones,Mac Jones,74,217
249,2,Trey Lance,Trey Lance,75,224
250,4,Trevor Lawrence,Trevor Lawrence,77,213
251,0,Davis Mills,Davis Mills,75,217
252,3,Kyle Trask,Kyle Trask,77,236
253,0,Zach Wilson,Zach Wilson,74,214
